,Date,Global_Confirmed_Cases,Global_Deaths
1129,2/26/23,65621,244
1130,2/27/23,127025,540
1131,2/28/23,150799,874
1132,3/1/23,220614,1781
1133,3/2/23,189059,1568
1134,3/3/23,182669,1294
1135,3/4/23,54195,276
1136,3/5/23,56126,148
1137,3/6/23,58040,366
1138,3/7/23,130437,923
1139,3/8/23,179446,1445
1140,3/9/23,177325,1319
